NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0829,08.380,"rice barn, storage place for rice","lumbung, tempat beras",logo,"logo, balasë -nye  p38",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,farming,noun,,,0549,,0.0,0.0,,,
0829,08.380,"rice barn, storage place for rice","lumbung, tempat beras",balasë,"logo, balasë -nye  p38",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,-nye  ,,,,farming,noun,,,0549,,0.0,0.0,,,
0830,08.480,rice plant,padi,bo'ung,bo'ung  +BBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,food,noun,,tumbuh-tumbuhan,0546,175,233.0,0.0,C19 E15 F15 G18 Ka 200,,
0832a,08.488,rice straw,jerami,bolon,bolon / bolong 93/49,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,True,nan,,,,,farming,noun,,,,,0.0,0.0,Z8.48D,,
0832a,08.488,rice straw,jerami,bolong,bolon / bolong 93/49,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,True,nan,,,,,farming,noun,,,,,0.0,0.0,Z8.48D,,
0833,08.483,"rice (cut, unhulled)",gabah,bo'ung,=08.480,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,=08.480,,,,,,noun,,tumbuh-tumbuhan,,176,0.0,0.0,,,
0834,08.484,"rice hull, husk of rice",sekam (gabah),apa,apa [h] 'V- 93V  +BBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V-  ,[h],,,,noun,,tumbuh-tumbuhan,,177*,148.0,0.0,Z,,
0835,08.481,hulled rice,beras,bogas,bogas /E  +BBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,food,noun,,tumbuh-tumbuhan,0544,178,234.0,0.0,C20 E16 F16 G19,,
0835,08.481,hulled rice,beras,E,bogas /E  +BBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,food,noun,,tumbuh-tumbuhan,0544,178,234.0,0.0,C20 E16 F16 G19,,
0836,08.482,cooked rice,nasi,'aniong,'aniong  +BBG +KAL +SBG: anio~,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,food,noun,,tumbuh-tumbuhan,0545,179,235.0,0.0,C21 E17 F17 G20,,
0836,08.482,cooked rice,nasi,anio,'aniong  +BBG +KAL +SBG: anio~,Lauje,Sigumbang,120.2423, 0.7321,,False,,,False,nan,,,,,food,noun,,tumbuh-tumbuhan,0545,179,235.0,0.0,C21 E17 F17 G20,,
0837,05.580,"mortar, rice pounder#",lesung,lonsung,lonsung  +BBG  +JJA,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,household,noun,,buatan manusia,0550,235,183.0,0.0,C167 E152 F151 G163,,
0839,05.590,"pounder, pestle (rice)","alu, penumbuk",alu,alu  [h] 'V- 93V  +BBG  +JJA,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V-    ,[h],,,household,noun,,buatan manusia,0551,236,215.0,0.0,C168 E153 F152 G164,,
0841,08.372,"winnow, sieve for rice","nyiru, tapisan   ->05.470",tatapitinoyongá,tatapitinoyongá,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,household,noun,,,0553,,0.0,0.0,,,
0841a,05.470,"sieve, filter","saringan, ayakan",loloyan < loloy,loloyan < loloy no-~ i-~  93P,Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,no- i-  ,,,,,noun,action<,,,,0.0,0.0,,,
0842,09.230,knife,pisau,piso,piso  +BBG  +IPG +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,household,noun,,buatan manusia,0505,237*,0.0,0.0,C165 E150 F149 G161,,
0843,09.235,dagger,golok,balado,balado [L],Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,[L],,,household,noun,,,0508,,0.0,0.0,,,
0844,09.232,"machete, chopper#",parang,piging,piging  +BBG  +JJA  +IPG +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,household,noun,,buatan manusia,0506,238,0.0,0.0,C166 E151 F150 G162 Z5.38A,,
