NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0048,04.290,throat (esophagus),kerongkongan,'ologolong E,'ologolong E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0037,024*,315.0,0.0,,,
0049,04.191,upper back,punggung atas,të'ë,të'ë  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0063,034*,11.0,13.0,,,6.0
0049a,04.190,back,punggung (leher ke tulang ekor),Bungkut E,Bungkut E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,,noun,,,0063a,,0.0,0.0,,,
0049b,04.192,"backbone, spine",tulang punggung,Bu'u nu të'ë,Bu'u nu të'ë,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0064,,0.0,0.0,,,
0050,04.435,belly,perut,'ompong E,'ompong E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0054,037*,16.0,14.0,C128 D48 E120 F117 G127 Z4.46A,49.0,10.0
0051,04.144,body hair,bulu (badan)  ->04.140,Buo' E,Buo' E  -onye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-onye,,,,bodyparts,noun,,anggota tubuh,0122,047*,0.0,0.0,C115 E107 F106 G115,,
0052,04.300,shoulder,bahu,dodompal E,dodompal E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0065,025,261.0,19.0,,,
0053a,04.302,collarbone,tulang selangka,loloígi,loloígi  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,,,,0.0,0.0,,,
0054,04.351,thigh,paha,palanga,palanga  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0090,039,309.0,0.0,,,
0055,04.120,skin (person),kulit,'ungkul E,'ungkul E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0121,048,265.0,12.0,C117 D27 E101 F100 G107,28.0,137.0
0056,04.160,bone,tulang,Bu'u,Bu'u  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0115,051,31.0,15.0,C112 D30 E104 F104 G113,31.0,17.0
0057,04.162,rib,tulang rusuk,laba,"laba, bu'u nu solipi",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0050,052,232.0,0.0,,,
0057,04.162,rib,tulang rusuk,bu'u nu solipi,"laba, bu'u nu solipi",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0050,052,232.0,0.0,,,
0058,04.440,heart,jantung ->08.845,sulë,sulë  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0052,053*,136.0,0.0,C132 D51 G111,52.0,69.0
0059,04.150,blood,darah,laa,laa  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,body,noun,mass,anggota tubuh,0116,054,26.0,23.0,C111 D29 E103 F103 G110,30.0,15.0
0060,04.454,"gall, bile",empedu,'opoyu,'opoyu / poyu  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0057,057*,0.0,0.0,,,
0060,04.454,"gall, bile",empedu,poyu,'opoyu / poyu  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0057,057*,0.0,0.0,,,
0061,04.461,"intestines, guts (G)","usus, isi perut (w)",tailiko,tailiko  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0055,059*,150.0,16.0,,,63.0
0062,04.451,kidney,"buah pinggang, ginjal",táipang E,táipang E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,,0059,,0.0,0.0,,,
0063,04.450,liver,hati,atë,atë [w]  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,[w],,,bodyparts,noun,,anggota tubuh,0056,056*,170.0,17.0,C131 D52 E123 F118 G112,53.0,90.0
0064,04.441,lungs,paru-paru,baga,baga [1. 'abaga]  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,[1. 'abaga],,,bodyparts,noun,,anggota tubuh,0051,058,175.0,0.0,,,
0065,04.130,"flesh, meat",daging (mentah),isi,isi  [w]  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,[w],,,bodyparts,noun,,anggota tubuh,0539/01,049*,0.0,103.0,C110 D28 E102 F102 G108,29.0,95.0
0066,04.492,penis,kemaluan laki-laki,uti,"uti  -nye, totolang u angkai",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0077,064*,213.0,0.0,,,
0066,04.492,penis,kemaluan laki-laki,totolang u angkai,"uti  -nye, totolang u angkai",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0077,064*,213.0,0.0,,,
0066a,04.493,glans,kepala pelir,leingked,leingked ~ (?),Lauje,Bou,120.0175,0.6603,,False,,,True,nan,,,(?),,bodyparts,noun,,anggota tubuh,,,0.0,0.0,,,
0067,04.490,testicle,buah pelir,taBu,taBu  -nye  p10,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye  ,,,,bodyparts,noun,,,0079,,0.0,0.0,,,
0068,04.495,circumcise,sunat  menyunat,suna,suna moN- no-~,Lauje,Bou,120.0175,0.6603,,False,,,False,nan,moN- no-,,,,culture,tr,action,,0405,,0.0,0.0,,,
0069,04.480,vagina,kemaluan perempuan,tëbë,"tëbë  -nye, lei  -nye",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0078,065,333.0,0.0,,,
0069,04.480,vagina,kemaluan perempuan,lei,"tëbë  -nye, lei  -nye",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0078,065,333.0,0.0,,,
