NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
1211,13.106,thousand,seribu,seribu,seribu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,nomor-nomor,1324,339,313.0,0.0,C80 E72 F72 G78,,
1212,,#complex number#,##,roribu tolu gatus walumpulu lelima,roribu tolu gatus walumpulu lelima,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,number,,,1325,,0.0,0.0,,,
1213,12.550,"big, large",besar,oge,oge mV-   p9  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-     ,,,,,stative,prop / sta,kata sifat,1061,256*,19.0,153.0,C83 D12 E75 F75 G81,13.0,11.0
1214,12.560,small (object),kecil,doi,doi mV- RDP mV-RDP- sodoi  p13 sodosodoi~  p30,Taje,Tanampedagi,120.0116,-0.4904,,False,,,False,nan,mV- RDP mV-RDP- sodoi   sodosodoi  ,,,,,stative,prop / sta,kata sifat,1062,257,270.0,152.0,C84 D14 E76 F76 G82,15.0,140.0
1215,16.710,good,baik,mbosi,mbosi mV-  p26  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-    ,,,,,stative,property,kata sifat,1130,258*,129.0,164.0,C91 D92 E83 F84 G89,97.0,60.0
1215a,16.815,"fine, beautiful, splendid","bagus, enak",rasa,rasa mV-  p26,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-  ,,,,,stative,property,kata sifat,1135,,0.0,0.0,,,
1215b,16.812,"charming, attractive",cantik,gaya,gaya mV-,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-,,,,,stative,property,kata sifat,1134,,0.0,0.0,,,
1216,16.720,"bad, rotten, nasty","jahat, buruk",jaat,jaat mV-  -mo p89a,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-  -mo ,,,,,stative,,kata sifat,1131,259,12.0,165.0,,,7.0
1218,15.830,wet,basah,renje,"renje mV-, SGA: montonyongmo~ ""mau basah""",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-,,,,,stative,state,kata sifat,1127,260,349.0,141.0,,,183.0
1218,15.830,wet,basah,montonyongmo,"renje mV-, SGA: montonyongmo~ ""mau basah""",Taje,Singura (part of Sienjo),120.0307,-0.3502,,False,,,False,nan,,,"""mau basah""",,,stative,state,kata sifat,1127,260,349.0,141.0,,,183.0
1219,15.840,dry,kering,tuu,"tuu mV-  +SGA, utu mV-, ogang mV- -> 05.612",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-  ,,,,,stative,property,kata sifat,1125,261*,81.0,140.0,C93 D94 E85 F87 G91,99.0,32.0
1219,15.840,dry,kering,utu,"tuu mV-  +SGA, utu mV-, ogang mV- -> 05.612",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-,,,,,stative,property,kata sifat,1125,261*,81.0,140.0,C93 D94 E85 F87 G91,99.0,32.0
1219,15.840,dry,kering,ogang,"tuu mV-  +SGA, utu mV-, ogang mV- -> 05.612",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV- -> 05.612,,,,,stative,property,kata sifat,1125,261*,81.0,140.0,C93 D94 E85 F87 G91,99.0,32.0
1220,12.610,"wide, extensive",luas,oge,=12.550,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,=12.550,mV-     ,,,,,stative,property,kata sifat,1116,262*,356.0,159.0,,,189.0
1221,12.620,narrow,sempit,pii,pii mV-,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-,,,,,stative,property,kata sifat,1115,263,190.0,158.0,,,100.0
1222,04.810,strong,kuat,poros,"poros mV- po- p19a p22, SGA: onji mV-  ~",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV- po-  ,,,,,stative,prop / sta,kata sifat,1117,264*,292.0,0.0,,,
1222,04.810,strong,kuat,onji,"poros mV- po- p19a p22, SGA: onji mV-  ~",Taje,Singura (part of Sienjo),120.0307,-0.3502,,False,,,False,nan,mV-  ,,,,,stative,prop / sta,kata sifat,1117,264*,292.0,0.0,,,
1223,04.820,weak,lemah (manusia sakit),magas,"magas mV-, butod =04.920",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-,,,,,stative,property,kata sifat,1102,265*,345.0,0.0,,,
1223,04.820,weak,lemah (manusia sakit),butod,"magas mV-, butod =04.920",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,=04.920,,,,,,stative,property,kata sifat,1102,265*,345.0,0.0,,,
1224,12.440,far,jauh,avar,avar mV-  mavavar (!) p18 SGA: aßar~,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-  mavavar  ,,(!),,space,stative,,kata sifat,1453,266,101.0,180.0,C88 E80 F80 G86,,41.0
1224,12.440,far,jauh,aßar,avar mV-  mavavar (!) p18 SGA: aßar~,Taje,Singura (part of Sienjo),120.0307,-0.3502,,False,,,False,nan,,,,,space,stative,,kata sifat,1453,266,101.0,180.0,C88 E80 F80 G86,,41.0
1225,12.430,near,dekat,osu,osu mo-  p24,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mo-  ,,,,,stative,state,kata sifat,1452a,267,191.0,179.0,C87 E79 F79 G85,,102.0
1226,14.130,new (objects),baru,salipo  salialipo,salipo  salialipo p87,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,stative,state,kata sifat,1153,268*,194.0,163.0,C90 D91 E82 F82 G88,96.0,104.0
1227,14.155,"long (of duration), old (objects)",lama,ende,ende mV- -mo  p25,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV- -mo  ,,,,,stative,,kata sifat,1151,269*,204.0,0.0,,,
1228,14.150,old,tua ->04.141,gurang,gurang mV-,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,mV-,,,,,stative,state,kata sifat,1150,270*,205.0,162.0,,,108.0
